Using linkage method for clustering
Using RMSD cutoff 0.1 nm
The RMSD ranges from 0.0546115 to 0.655948 nm
Average RMSD is 0.340686
Number of structures for matrix 1001
Energy of the matrix is 9.13549.

Found 218 clusters

Writing middle structure for each cluster to cluster_avg_0.1.pdb

cl. | #st  rmsd | middle rmsd | cluster members
  1 |   2  0.079 |      0 .079 |      0     10
  2 |  18  0.117 |    110 .097 |     20     30     40     50     60     70     80
    |           |             |     90    100    110    120    130    140    150
    |           |             |    160    170    180    190
  3 |   1       |    200      |    200
  4 |  52  0.154 |    390 .128 |    210    220    230    240    250    260    270
    |           |             |    280    290    300    310    320    330    340
    |           |             |    350    360    370    380    390    400    410
    |           |             |    420    430    440    450    460    470    480
    |           |             |    490    500    510    520    530    540    550
    |           |             |    560    570    580    590    600    610    620
    |           |             |    630    640    650    660    670    680    690
    |           |             |    700    710    720
  5 |   5  0.110 |    760 .095 |    730    740    750    760    770
  6 | 152  0.154 |   1980 .128 |    780    790    800    810    850    860    870
    |           |             |    880    890    900    910    920    930    940
    |           |             |    950    960    970    980    990   1000   1010
    |           |             |   1020   1030   1040   1050   1060   1070   1080
    |           |             |   1090   1100   1110   1120   1130   1140   1150
    |           |             |   1160   1170   1180   1190   1200   1210   1220
    |           |             |   1230   1240   1250   1260   1270   1280   1290
    |           |             |   1300   1310   1320   1330   1340   1350   1360
    |           |             |   1370   1380   1390   1400   1430   1440   1450
    |           |             |   1480   1490   1500   1510   1520   1530   1540
    |           |             |   1550   1560   1570   1580   1590   1600   1610
    |           |             |   1620   1630   1640   1650   1660   1670   1680
    |           |             |   1690   1700   1710   1720   1730   1740   1750
    |           |             |   1760   1770   1780   1790   1800   1810   1820
    |           |             |   1830   1840   1850   1860   1870   1880   1890
    |           |             |   1900   1910   1920   1930   1940   1950   1960
    |           |             |   1970   1980   1990   2000   2010   2020   2030
    |           |             |   2040   2050   2060   2070   2080   2090   2100
    |           |             |   2110   2120   2130   2140   2150   2160   2170
    |           |             |   2180   2190   2200   2210   2220   2230   2240
    |           |             |   2250   2260   2270   2280   2290   2300   2310
    |           |             |   2320   2330   2340   2350   2360
  7 |   2  0.092 |    820 .092 |    820    840
  8 |   1       |    830      |    830
  9 |   1       |   1410      |   1410
 10 |   1       |   1420      |   1420
 11 |   2  0.080 |   1460 .080 |   1460   1470
 12 |   1       |   2370      |   2370
 13 | 105  0.188 |   2890 .158 |   2380   2390   2400   2410   2420   2430   2440
    |           |             |   2450   2460   2470   2480   2490   2500   2510
    |           |             |   2520   2530   2540   2550   2560   2570   2580
    |           |             |   2590   2600   2610   2620   2630   2640   2650
    |           |             |   2660   2670   2680   2690   2700   2710   2720
    |           |             |   2730   2740   2750   2760   2770   2780   2790
    |           |             |   2800   2810   2820   2830   2840   2850   2860
    |           |             |   2870   2880   2890   2900   2910   2920   2930
    |           |             |   2940   2950   2970   2980   2990   3000   3010
    |           |             |   3020   3030   3040   3050   3060   3070   3080
    |           |             |   3090   3100   3110   3120   3140   3150   3160
    |           |             |   3170   3180   3190   3200   3210   3220   3230
    |           |             |   3240   3250   3260   3270   3280   3290   3300
    |           |             |   3320   3330   3340   3350   3360   3370   3380
    |           |             |   3390   3400   3410   3420   3430   3440   3450
 14 |   1       |   2960      |   2960
 15 |   1       |   3130      |   3130
 16 |   1       |   3310      |   3310
 17 |   2  0.095 |   3460 .095 |   3460   3470
 18 |   5  0.093 |   3510 .086 |   3480   3490   3500   3510   3520
 19 |   1       |   3530      |   3530
 20 |   1       |   3540      |   3540
 21 |   3  0.090 |   3560 .089 |   3550   3560   3580
 22 |   1       |   3570      |   3570
 23 |  20  0.139 |   3710 .119 |   3590   3600   3610   3630   3640   3650   3660
    |           |             |   3670   3680   3690   3700   3710   3720   3730
    |           |             |   3740   3750   3760   3770   3780   3790
 24 |   1       |   3620      |   3620
 25 |   6  0.104 |   3840 .093 |   3800   3820   3830   3840   3850   3860
 26 |   1       |   3810      |   3810
 27 |  13  0.143 |   3930 .121 |   3870   3880   3890   3900   3910   3920   3930
    |           |             |   3940   3950   3960   3970   3980   3990
 28 |   6  0.113 |   4020 .101 |   4000   4010   4020   4030   4050   4060
 29 |   1       |   4040      |   4040
 30 |  13  0.112 |   4090 .100 |   4070   4080   4090   4100   4110   4120   4140
    |           |             |   4150   4160   4170   4180   4190   4200
 31 |   1       |   4130      |   4130
 32 |   3  0.088 |   4220 .080 |   4210   4220   4230
 33 |   3  0.092 |   4270 .084 |   4240   4270   4280
 34 |   1       |   4250      |   4250
 35 |   1       |   4260      |   4260
 36 |   1       |   4290      |   4290
 37 |   2  0.097 |   4300 .097 |   4300   4310
 38 |  18  0.130 |   4460 .108 |   4320   4330   4340   4350   4360   4370   4380
    |           |             |   4390   4400   4420   4430   4440   4450   4460
    |           |             |   4470   4480   4500   4510
 39 |   1       |   4410      |   4410
 40 |   1       |   4490      |   4490
 41 |   1       |   4520      |   4520
 42 |   1       |   4530      |   4530
 43 |   1       |   4540      |   4540
 44 |   5  0.110 |   4570 .098 |   4550   4560   4570   4580   4590
 45 |   1       |   4600      |   4600
 46 |   3  0.102 |   4630 .095 |   4610   4630   4640
 47 |   1       |   4620      |   4620
 48 |   2  0.094 |   4650 .094 |   4650   4660
 49 |   7  0.089 |   4680 .082 |   4670   4680   4690   4700   4710   4720   4730
 50 |   1       |   4740      |   4740
 51 |   3  0.099 |   4760 .095 |   4750   4760   4770
 52 |   6  0.111 |   4820 .099 |   4780   4790   4800   4810   4820   4830
 53 |   6  0.122 |   4860 .104 |   4840   4850   4860   4870   4880   4890
 54 |   1       |   4900      |   4900
 55 |   2  0.082 |   4910 .082 |   4910   4920
 56 |   1       |   4930      |   4930
 57 |   1       |   4940      |   4940
 58 |   7  0.105 |   4980 .095 |   4950   4960   4970   4980   4990   5000   5010
