Using linkage method for clustering
Using RMSD cutoff 0.1 nm
The RMSD ranges from 0.0598042 to 0.556724 nm
Average RMSD is 0.240453
Number of structures for matrix 1001
Energy of the matrix is 9.28318.

Found 188 clusters

Writing middle structure for each cluster to cluster_avg_0.1.pdb

cl. | #st  rmsd | middle rmsd | cluster members
  1 |   1       |      0      |      0
  2 |   1       |     10      |     10
  3 |   4  0.101 |     30 .097 |     20     30     40     50
  4 |  10  0.117 |     80 .102 |     60     70     80     90    100    110    120
    |           |             |    130    140    150
  5 |   2  0.079 |    160 .079 |    160    170
  6 |   6  0.097 |    240 .089 |    180    200    210    220    230    240
  7 |   1       |    190      |    190
  8 |   1       |    250      |    250
  9 |   2  0.093 |    260 .093 |    260    270
 10 |   1       |    280      |    280
 11 |   5  0.102 |    320 .094 |    290    300    310    320    330
 12 |   9  0.113 |    370 .100 |    340    350    360    370    380    390    400
    |           |             |    410    420
 13 |   3  0.093 |    450 .086 |    430    440    450
 14 |   1       |    460      |    460
 15 |   1       |    470      |    470
 16 |  17  0.143 |    670 .132 |    480    530    540    550    560    570    580
    |           |             |    590    600    610    620    630    640    650
    |           |             |    660    670    680
 17 |   1       |    490      |    490
 18 |   1       |    500      |    500
 19 |   1       |    510      |    510
 20 |   1       |    520      |    520
 21 |   1       |    690      |    690
 22 |   2  0.085 |    700 .085 |    700    710
 23 |   1       |    720      |    720
 24 |   4  0.104 |    750 .096 |    730    740    750    760
 25 |   1       |    770      |    770
 26 |   2  0.097 |    780 .097 |    780    790
 27 |  24  0.130 |    940 .116 |    800    810    820    830    840    850    860
    |           |             |    870    880    900    910    930    940    950
    |           |             |    960    970    980    990   1000   1020   1030
    |           |             |   1040   1090   1100
 28 |   1       |    890      |    890
 29 |   1       |    920      |    920
 30 |   1       |   1010      |   1010
 31 |   3  0.096 |   1080 .091 |   1050   1060   1080
 32 |   1       |   1070      |   1070
 33 |   1       |   1110      |   1110
 34 |  14  0.115 |   1160 .103 |   1120   1130   1140   1150   1160   1170   1180
    |           |             |   1190   1200   1210   1220   1230   1240   1250
 35 |   1       |   1260      |   1260
 36 |   4  0.090 |   1300 .083 |   1270   1280   1290   1300
 37 |   1       |   1310      |   1310
 38 |   1       |   1320      |   1320
 39 |  16  0.128 |   1390 .116 |   1330   1340   1350   1360   1370   1380   1390
    |           |             |   1400   1410   1420   1430   1440   1450   1460
    |           |             |   1470   1480
 40 |  11  0.121 |   1580 .105 |   1490   1510   1520   1530   1540   1550   1560
    |           |             |   1570   1580   1590   1600
 41 |   1       |   1500      |   1500
 42 |  14  0.120 |   1680 .106 |   1610   1620   1630   1640   1650   1660   1670
    |           |             |   1680   1690   1700   1710   1720   1730   1740
 43 |   1       |   1750      |   1750
 44 |   2  0.097 |   1760 .097 |   1760   1770
 45 |   3  0.094 |   1790 .091 |   1780   1790   1800
 46 |  13  0.111 |   2000 .102 |   1810   1820   1840   1850   1960   1970   1980
    |           |             |   1990   2000   2010   2020   2030   2040
 47 |   1       |   1830      |   1830
 48 |   1       |   1860      |   1860
 49 |   1       |   1870      |   1870
 50 |   7  0.102 |   1930 .092 |   1880   1890   1900   1910   1920   1930   1940
 51 |   1       |   1950      |   1950
 52 |   1       |   2050      |   2050
 53 |   1       |   2060      |   2060
 54 |  13  0.114 |   2180 .103 |   2070   2080   2090   2100   2110   2120   2130
    |           |             |   2140   2150   2160   2170   2180   2190
 55 |   1       |   2200      |   2200
 56 |   1       |   2210      |   2210
 57 |   3  0.097 |   2230 .087 |   2220   2230   2240
 58 |   6  0.108 |   2280 .096 |   2250   2260   2270   2280   2300   2320
 59 |   3  0.098 |   2330 .093 |   2290   2330   2340
 60 |   1       |   2310      |   2310
 61 |   6  0.108 |   2370 .096 |   2350   2360   2370   2380   2390   2400
 62 |  15  0.113 |   2490 .101 |   2410   2420   2430   2440   2450   2460   2470
    |           |             |   2480   2490   2500   2510   2520   2530   2540
    |           |             |   2550
 63 |   5  0.110 |   2570 .099 |   2560   2570   2580   2590   2600
 64 |   8  0.110 |   2700 .097 |   2610   2620   2630   2640   2650   2700   2710
    |           |             |   2720
 65 |   4  0.101 |   2660 .096 |   2660   2670   2680   2690
 66 |   8  0.117 |   2780 .103 |   2730   2740   2750   2760   2770   2780   2790
    |           |             |   2800
 67 |   2  0.091 |   2810 .091 |   2810   2820
 68 |   2  0.091 |   2830 .091 |   2830   2840
 69 |  21  0.132 |   3440 .115 |   2850   2860   2870   3220   3230   3240   3250
    |           |             |   3260   3360   3370   3380   3390   3400   3410
    |           |             |   3420   3430   3440   3450   3460   3470   3480
 70 |  61  0.145 |   3600 .124 |   2880   2890   2900   2910   2920   2930   2940
    |           |             |   2950   2960   2970   2980   2990   3000   3010
    |           |             |   3020   3030   3040   3050   3060   3070   3080
    |           |             |   3090   3100   3110   3120   3130   3140   3150
    |           |             |   3160   3170   3180   3190   3200   3210   3510
    |           |             |   3520   3530   3540   3550   3560   3570   3580
    |           |             |   3590   3600   3610   3620   3630   3640   3650
    |           |             |   3660   3680   3690   3700   3710   3720   3730
    |           |             |   3740   3750   3760   3770   3780
 71 |   7  0.109 |   3310 .098 |   3270   3280   3290   3300   3310   3320   3330
 72 |   2  0.076 |   3340 .076 |   3340   3350
 73 |   1       |   3490      |   3490
 74 |   1       |   3500      |   3500
 75 |   1       |   3670      |   3670
 76 |   1       |   3790      |   3790
 77 |   1       |   3800      |   3800
 78 |  12  0.110 |   3870 .098 |   3810   3820   3830   3840   3850   3860   3870
    |           |             |   3880   3890   3900   3910   3920
 79 |   2  0.088 |   3930 .088 |   3930   3940
 80 |   5  0.110 |   3970 .095 |   3950   3960   3970   3980   3990
 81 |  18  0.124 |   4000 .113 |   4000   4010   4020   4030   4040   4050   4060
    |           |             |   4070   4080   4090   4100   4110   4120   4130
    |           |             |   4140   4150   4160   4170
 82 |   4  0.100 |   4200 .089 |   4180   4190   4200   4210
 83 |   1       |   4220      |   4220
 84 |   1       |   4230      |   4230
 85 |  22  0.140 |   4410 .120 |   4240   4250   4260   4270   4280   4290   4300
    |           |             |   4360   4370   4380   4390   4400   4410   4420
    |           |             |   4430   4440   4450   4460   4470   4500   4510
    |           |             |   4520
 86 |   5  0.091 |   4320 .083 |   4310   4320   4330   4340   4350
 87 |   1       |   4480      |   4480
 88 |   1       |   4490      |   4490
 89 |   1       |   4530      |   4530
 90 |   1       |   4540      |   4540
 91 |   9  0.109 |   4590 .102 |   4550   4560   4570   4580   4590   4600   4610
    |           |             |   4620   4630
 92 |   6  0.094 |   4670 .086 |   4640   4650   4660   4670   4680   4690
 93 |   1       |   4700      |   4700
 94 |   3  0.091 |   4710 .090 |   4710   4720   4730
 95 |   2  0.088 |   4740 .088 |   4740   4750
 96 |   1       |   4760      |   4760
 97 |  28  0.129 |   4920 .114 |   4770   4780   4790   4800   4810   4820   4830
    |           |             |   4840   4850   4860   4870   4880   4920   4930
    |           |             |   4940   4950   4960   4970   4980   4990   5000
    |           |             |   5010   5020   5030   5040   5050   5060   5070
 98 |   1       |   4890      |   4890
 99 |   2  0.091 |   4900 .091 |   4900   4910
100 |   3  0.094 |   5090 .088 |   5080   5090   5100
101 |   1       |   5110      |   5110
102 |   2  0.078 |   5120 .078 |   5120   5130
103 |   1       |   5140      |   5140
104 |   6  0.112 |   5160 .101 |   5150   5160   5170   5180   5190   5200
105 |   4  0.094 |   5230 .082 |   5210   5220   5230   5240
106 |   8  0.119 |   5280 .104 |   5250   5260   5270   5280   5290   5300   5310
    |           |             |   5320
107 |   2  0.084 |   5330 .084 |   5330   5340
108 |   1       |   5350      |   5350
109 |   1       |   5360      |   5360
110 |   5  0.102 |   5390 .089 |   5370   5380   5390   5400   5410
111 |   1       |   5420      |   5420
112 |   5  0.115 |   5460 .105 |   5430   5440   5450   5460   5470
113 |   4  0.110 |   5490 .099 |   5480   5490   5500   5510
114 |   4  0.097 |   5540 .092 |   5520   5530   5540   5550
115 |   7  0.112 |   5580 .096 |   5560   5570   5580   5590   5600   5610   5620
116 |   3  0.078 |   5630 .077 |   5630   5640   5650
117 |   1       |   5660      |   5660
118 |   1       |   5670      |   5670
119 |   1       |   5680      |   5680
120 |   1       |   5690      |   5690
121 |   9  0.116 |   5730 .100 |   5700   5710   5720   5730   5740   5750   5760
    |           |             |   5770   5780
122 |   1       |   5790      |   5790
123 |   8  0.108 |   5810 .100 |   5800   5810   5820   5830   5840   5850   5860
    |           |             |   5870
124 |   1       |   5880      |   5880
125 |   1       |   5890      |   5890
126 |   8  0.105 |   5950 .095 |   5900   5910   5920   5930   5940   5950   5960
    |           |             |   5970
127 |   1       |   5980      |   5980
128 |   1       |   5990      |   5990
129 |   1       |   6000      |   6000
130 |   1       |   6010      |   6010
131 |  17  0.127 |   6130 .112 |   6020   6030   6040   6050   6060   6070   6080
    |           |             |   6100   6110   6120   6130   6140   6150   6160
    |           |             |   6170   6180   6190
132 |   1       |   6090      |   6090
133 |  22  0.132 |   6280 .114 |   6200   6210   6220   6230   6250   6260   6270
    |           |             |   6280   6290   6300   6310   6320   6330   6340
    |           |             |   6350   6360   6370   6380   6390   6400   6410
    |           |             |   6420
134 |   1       |   6240      |   6240
135 |   4  0.086 |   6430 .080 |   6430   6440   6450   6460
136 |   1       |   6470      |   6470
137 |   4  0.090 |   6500 .084 |   6480   6490   6500   6510
138 |   2  0.094 |   6520 .094 |   6520   6530
139 |   2  0.097 |   6540 .097 |   6540   6550
140 |   5  0.103 |   6580 .096 |   6560   6570   6580   6590   6620
141 |   2  0.093 |   6600 .093 |   6600   6610
142 |   2  0.099 |   6630 .099 |   6630   6640
143 |   8  0.103 |   6700 .093 |   6650   6660   6670   6680   6690   6700   6710
    |           |             |   6720
144 |   1       |   6730      |   6730
145 |   1       |   6740      |   6740
146 |   1       |   6750      |   6750
147 | 152  0.157 |   7930 .133 |   6760   6770   6780   6790   6800   6810   6820
    |           |             |   6830   6840   6850   6860   6870   6880   6890
    |           |             |   6900   6910   6920   6930   6940   6950   6960
    |           |             |   6970   6980   6990   7000   7010   7020   7030
    |           |             |   7040   7050   7060   7070   7080   7090   7100
    |           |             |   7110   7120   7130   7140   7150   7160   7170
    |           |             |   7180   7190   7200   7210   7220   7230   7250
    |           |             |   7260   7270   7280   7290   7300   7310   7320
    |           |             |   7330   7340   7350   7360   7370   7390   7400
    |           |             |   7410   7420   7430   7440   7450   7460   7480
    |           |             |   7490   7500   7510   7520   7530   7540   7550
    |           |             |   7560   7570   7580   7590   7600   7610   7620
    |           |             |   7630   7640   7650   7660   7670   7680   7690
    |           |             |   7700   7710   7720   7730   7740   7750   7760
    |           |             |   7770   7780   7790   7800   7810   7820   7830
    |           |             |   7840   7850   7860   7870   7880   7890   7900
    |           |             |   7910   7920   7930   7940   7950   7960   7970
    |           |             |   7980   7990   8000   8010   8020   8030   8040
    |           |             |   8050   8060   8070   8080   8090   8100   8110
    |           |             |   8120   8130   8140   8150   8160   8170   8180
    |           |             |   8190   8200   8210   8220   8230   8240   8250
    |           |             |   8260   8270   8280   8290   8300
148 |   1       |   7240      |   7240
149 |   1       |   7380      |   7380
150 |   1       |   7470      |   7470
151 |   2  0.083 |   8310 .083 |   8310   8320
152 |  12  0.125 |   8400 .108 |   8330   8340   8350   8360   8370   8380   8390
    |           |             |   8400   8410   8420   8430   8440
153 |  10  0.118 |   8490 .109 |   8450   8460   8470   8480   8490   8500   8510
    |           |             |   8520   8530   8540
154 |  25  0.134 |   8670 .119 |   8550   8560   8570   8580   8590   8600   8610
    |           |             |   8620   8630   8640   8650   8660   8670   8680
    |           |             |   8690   8700   8710   8720   8730   8740   8750
    |           |             |   8760   8770   8780   8790
155 |   1       |   8800      |   8800
156 |   2  0.095 |   8810 .095 |   8810   8820
157 |   1       |   8830      |   8830
158 |   1       |   8840      |   8840
159 |   1       |   8850      |   8850
160 |   2  0.075 |   8860 .075 |   8860   8870
161 |   1       |   8880      |   8880
162 |   6  0.101 |   8910 .096 |   8890   8910   8920   8930   8940   8950
163 |   1       |   8900      |   8900
164 |   2  0.094 |   8960 .094 |   8960   8970
165 |   3  0.093 |   8990 .086 |   8980   8990   9000
166 |   1       |   9010      |   9010
167 |   8  0.120 |   9060 .103 |   9020   9030   9040   9050   9060   9070   9080
    |           |             |   9090
168 |   2  0.093 |   9100 .093 |   9100   9110
169 |   5  0.098 |   9150 .089 |   9120   9130   9140   9150   9160
170 |   3  0.094 |   9180 .087 |   9170   9180   9190
171 |   4  0.103 |   9210 .097 |   9200   9210   9220   9230
172 |   2  0.099 |   9240 .099 |   9240   9250
173 |   7  0.103 |   9300 .099 |   9260   9270   9280   9290   9300   9310   9320
