Using gromos method for clustering
Using RMSD cutoff 0.15 nm
The RMSD ranges from 0.0848753 to 0.499713 nm
Average RMSD is 0.288191
Number of structures for matrix 101
Energy of the matrix is 2.28573.

Found 38 clusters

Writing middle structure for each cluster to clusters_363.pdb

cl. | #st  rmsd | middle rmsd | cluster members
  1 |   9  0.148 |    610 .128 |    560    570    580    590    600    610    620
    |           |             |    630    640
  2 |   9  0.136 |    280 .126 |    220    230    240    250    260    270    280
    |           |             |    290    300
  3 |   6  0.155 |    990 .137 |    920    960    970    980    990   1000
  4 |   6  0.150 |     80 .135 |     60     70     80     90    100    110
  5 |   6  0.158 |    700 .136 |    690    700    710    720    730    750
  6 |   5  0.147 |    210 .136 |    170    180    190    200    210
  7 |   4  0.148 |    420 .142 |    400    410    420    440
  8 |   4  0.138 |    900 .130 |    890    900    910    930
  9 |   4  0.153 |    370 .140 |    350    360    370    380
 10 |   4  0.147 |    140 .129 |    120    130    140    150
 11 |   3  0.139 |    340 .132 |    320    330    340
 12 |   3  0.138 |     10 .125 |      0     10     20
 13 |   3  0.154 |    840 .138 |    830    840    850
 14 |   3  0.132 |    790 .118 |    780    790    800
 15 |   3  0.145 |    530 .130 |    520    530    540
 16 |   2  0.112 |    940 .112 |    940    950
 17 |   2  0.140 |    500 .140 |    500    510
 18 |   2  0.145 |    670 .145 |    670    680
 19 |   2  0.118 |    650 .118 |    650    660
 20 |   2  0.162 |    740 .162 |    740    760
 21 |   2  0.125 |     40 .125 |     40     50
 22 |   1       |    390      |    390
 23 |   1       |     30      |     30
 24 |   1       |    770      |    770
 25 |   1       |    310      |    310
 26 |   1       |    810      |    810
 27 |   1       |    430      |    430
 28 |   1       |    470      |    470
 29 |   1       |    460      |    460
 30 |   1       |    880      |    880
 31 |   1       |    550      |    550
 32 |   1       |    860      |    860
 33 |   1       |    870      |    870
 34 |   1       |    160      |    160
 35 |   1       |    480      |    480
 36 |   1       |    490      |    490
 37 |   1       |    450      |    450
 38 |   1       |    820      |    820
