Using gromos method for clustering
Using RMSD cutoff 0.15 nm
The RMSD ranges from 0.0548074 to 0.328023 nm
Average RMSD is 0.199545
Number of structures for matrix 101
Energy of the matrix is 0.866786.

Found 8 clusters

Writing middle structure for each cluster to clusters_300.pdb

cl. | #st  rmsd | middle rmsd | cluster members
  1 |  34  0.138 |    150 .123 |     20     30     40     50     60     70     80
    |           |             |     90    100    110    120    130    140    150
    |           |             |    160    170    180    190    200    210    220
    |           |             |    230    240    250    260    270    280    290
    |           |             |    300    320    360    370    390    400
  2 |  31  0.156 |    580 .132 |    310    340    350    380    430    440    460
    |           |             |    470    490    500    530    540    550    560
    |           |             |    570    580    590    600    610    620    630
    |           |             |    640    650    820    830    850    860    870
    |           |             |    880    890    920
  3 |  16  0.148 |    800 .136 |    660    670    680    700    720    770    780
    |           |             |    790    800    810    840    900    910    930
    |           |             |    940    970
  4 |   7  0.150 |    480 .130 |    330    410    420    450    480    510    520
  5 |   6  0.116 |    730 .108 |    690    710    730    740    750    760
  6 |   3  0.146 |    950 .129 |    950    960    980
  7 |   2  0.093 |    990 .093 |    990   1000
  8 |   2  0.118 |      0 .118 |      0     10
