Using gromos method for clustering
Using RMSD cutoff 0.15 nm
The RMSD ranges from 0.0800119 to 0.466371 nm
Average RMSD is 0.243642
Number of structures for matrix 101
Energy of the matrix is 1.89881.

Found 29 clusters

Writing middle structure for each cluster to clusters_363.pdb

cl. | #st  rmsd | middle rmsd | cluster members
  1 |  12  0.142 |    120 .127 |    100    110    120    130    140    150    160
    |           |             |    170    180    190    200    230
  2 |   9  0.159 |    850 .133 |    730    800    820    830    840    850    900
    |           |             |    910    990
  3 |   8  0.148 |    310 .133 |    260    270    280    290    300    310    320
    |           |             |    330
  4 |   7  0.147 |    490 .135 |    470    480    490    500    510    520    530
  5 |   6  0.146 |    400 .134 |    370    380    390    400    410    420
  6 |   6  0.163 |    600 .147 |    590    600    610    620    670    700
  7 |   6  0.146 |    780 .132 |    760    770    780    790    940    950
  8 |   5  0.158 |     50 .134 |     30     40     50     60     70
  9 |   5  0.142 |    570 .132 |    540    550    560    570    580
 10 |   4  0.135 |    450 .129 |    430    440    450    460
 11 |   3  0.167 |     90 .156 |     80     90    210
 12 |   3  0.149 |    680 .138 |    660    680    690
 13 |   3  0.138 |    640 .129 |    630    640    650
 14 |   3  0.131 |    980 .127 |    970    980   1000
 15 |   3  0.140 |    350 .133 |    340    350    360
 16 |   2  0.144 |     10 .144 |     10     20
 17 |   2  0.171 |    930 .171 |    930    960
 18 |   2  0.129 |    880 .129 |    880    890
 19 |   2  0.147 |    740 .147 |    740    750
 20 |   1       |    710      |    710
 21 |   1       |    810      |    810
 22 |   1       |    870      |    870
 23 |   1       |    920      |    920
 24 |   1       |    860      |    860
 25 |   1       |    220      |    220
 26 |   1       |      0      |      0
 27 |   1       |    250      |    250
 28 |   1       |    720      |    720
 29 |   1       |    240      |    240
